minute,value,match_id
87.0,34,12813020
88.0,21,12813020
89.0,9,12813020
90.0,46,12813020
90.5,-39,12813020
1.0,-2,12813013
2.0,-3,12813013
3.0,-4,12813013
4.0,-3,12813013
5.0,-2,12813013
6.0,-1,12813013
7.0,-5,12813013
8.0,-17,12813013
9.0,-10,12813013
10.0,-10,12813013
11.0,36,12813013
12.0,4,12813013
13.0,-62,12813013
14.0,-41,12813013
15.0,-63,12813013
16.0,-26,12813013
17.0,-59,12813013
18.0,-30,12813013
19.0,24,12813013
20.0,8,12813013
21.0,-14,12813013
22.0,8,12813013
23.0,-19,12813013
24.0,-45,12813013
25.0,-93,12813013
26.0,-55,12813013
27.0,-35,12813013
28.0,20,12813013
29.0,-28,12813013
30.0,-11,12813013
31.0,-7,12813013
32.0,-4,12813013
33.0,4,12813013
34.0,2,12813013
35.0,5,12813013
36.0,6,12813013
37.0,-24,12813013
38.0,16,12813013
39.0,-5,12813013
40.0,5,12813013
41.0,7,12813013
42.0,27,12813013
43.0,21,12813013
44.0,21,12813013
45.0,39,12813013
45.5,36,12813013
46.0,-5,12813013
47.0,-38,12813013
48.0,-14,12813013
49.0,18,12813013
50.0,4,12813013
51.0,-29,12813013
52.0,-32,12813013
53.0,-16,12813013
54.0,-30,12813013
55.0,-14,12813013
56.0,10,12813013
57.0,-6,12813013
58.0,16,12813013
59.0,13,12813013
60.0,16,12813013
61.0,45,12813013
62.0,42,12813013
63.0,45,12813013
64.0,31,12813013
65.0,14,12813013
66.0,13,12813013
67.0,7,12813013
68.0,12,12813013
69.0,13,12813013
70.0,44,12813013
71.0,46,12813013
72.0,32,12813013
73.0,22,12813013
74.0,17,12813013
75.0,17,12813013
76.0,-12,12813013
77.0,-13,12813013
78.0,35,12813013
79.0,13,12813013
80.0,9,12813013
81.0,-14,12813013
82.0,-2,12813013
83.0,12,12813013
84.0,8,12813013
85.0,24,12813013
86.0,18,12813013
87.0,42,12813013
88.0,5,12813013
89.0,41,12813013
90.0,15,12813013
90.5,1,12813013
91.0,9,12813013
92.0,8,12813013
93.0,5,12813013
94.0,2,12813013
95.0,4,12813013
96.0,-3,12813013
97.0,5,12813013
98.0,-3,12813013
99.0,15,12813013
100.0,1,12813013
101.0,1,12813013
102.0,3,12813013
103.0,-10,12813013
104.0,-9,12813013
105.0,18,12813013
106.0,-5,12813013
107.0,23,12813013
